,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_cli,2020-09-01,2020-11-19,79,0.7479399,0.2905209,757.0,state,fb-survey
1,al,smoothed_cli,2020-09-01,2020-11-19,79,1.1956574,0.1581846,3646.1171,state,fb-survey
2,ar,smoothed_cli,2020-09-01,2020-11-19,79,0.7473999,0.1464001,2571.8893,state,fb-survey
3,az,smoothed_cli,2020-09-01,2020-11-19,79,0.4574767,0.0831229,5026.8568,state,fb-survey
4,ca,smoothed_cli,2020-09-01,2020-11-19,79,0.4299489,0.0397837,20556.1664,state,fb-survey
5,co,smoothed_cli,2020-09-01,2020-11-19,79,0.3735846,0.0727099,4845.9048,state,fb-survey
6,ct,smoothed_cli,2020-09-01,2020-11-19,79,0.3061035,0.0733458,3599.0,state,fb-survey
7,dc,smoothed_cli,2020-09-01,2020-11-19,79,0.5179344,0.3122574,539.0,state,fb-survey
8,de,smoothed_cli,2020-09-01,2020-11-19,79,0.2020991,0.1219508,1098.0,state,fb-survey
9,fl,smoothed_cli,2020-09-01,2020-11-19,79,0.6812097,0.0576508,16227.0021,state,fb-survey
10,ga,smoothed_cli,2020-09-01,2020-11-19,79,0.7976274,0.0948221,6962.9217,state,fb-survey
11,hi,smoothed_cli,2020-09-01,2020-11-19,79,0.6335616,0.2065895,1168.0,state,fb-survey
12,ia,smoothed_cli,2020-09-01,2020-11-19,79,0.822011,0.1254229,3591.1136,state,fb-survey
13,id,smoothed_cli,2020-09-01,2020-11-19,79,1.0239561,0.2028135,1800.5262,state,fb-survey
14,il,smoothed_cli,2020-09-01,2020-11-19,79,0.5635358,0.0664161,10123.0236,state,fb-survey
15,in,smoothed_cli,2020-09-01,2020-11-19,79,0.5740882,0.0843125,5700.0072,state,fb-survey
16,ks,smoothed_cli,2020-09-01,2020-11-19,79,0.9710179,0.1705823,2715.8942,state,fb-survey
17,ky,smoothed_cli,2020-09-01,2020-11-19,79,0.7628365,0.1227808,3824.9368,state,fb-survey
18,la,smoothed_cli,2020-09-01,2020-11-19,79,0.7913326,0.1337076,3165.9974,state,fb-survey
19,ma,smoothed_cli,2020-09-01,2020-11-19,79,0.2891057,0.0661229,5106.017,state,fb-survey
20,md,smoothed_cli,2020-09-01,2020-11-19,79,0.2831051,0.071723,4014.9986,state,fb-survey
21,me,smoothed_cli,2020-09-01,2020-11-19,79,0.4641853,0.1469011,1699.0,state,fb-survey
22,mi,smoothed_cli,2020-09-01,2020-11-19,79,0.426351,0.0570517,9555.0113,state,fb-survey
23,mn,smoothed_cli,2020-09-01,2020-11-19,79,0.523914,0.0945151,4629.804,state,fb-survey
24,mo,smoothed_cli,2020-09-01,2020-11-19,79,0.6610935,0.1014103,5073.3922,state,fb-survey
25,ms,smoothed_cli,2020-09-01,2020-11-19,79,1.1895702,0.1975476,2305.2405,state,fb-survey
26,mt,smoothed_cli,2020-09-01,2020-11-19,79,0.829806,0.2156214,1331.8761,state,fb-survey
27,nc,smoothed_cli,2020-09-01,2020-11-19,79,0.6730262,0.0765464,8616.0074,state,fb-survey
28,nd,smoothed_cli,2020-09-01,2020-11-19,79,0.7524261,0.2612062,812.1477,state,fb-survey
29,ne,smoothed_cli,2020-09-01,2020-11-19,79,0.6377101,0.1491466,1860.8327,state,fb-survey
30,nh,smoothed_cli,2020-09-01,2020-11-19,79,0.280112,0.120356,1547.0,state,fb-survey
31,nj,smoothed_cli,2020-09-01,2020-11-19,79,0.2432347,0.0523765,6207.9967,state,fb-survey
32,nm,smoothed_cli,2020-09-01,2020-11-19,79,0.3586683,0.1184793,1751.1184,state,fb-survey
33,nv,smoothed_cli,2020-09-01,2020-11-19,79,0.6130779,0.150272,2062.5608,state,fb-survey
34,ny,smoothed_cli,2020-09-01,2020-11-19,79,0.3826777,0.0481607,12708.0017,state,fb-survey
35,oh,smoothed_cli,2020-09-01,2020-11-19,79,0.4024516,0.0555663,10072.9997,state,fb-survey
36,ok,smoothed_cli,2020-09-01,2020-11-19,79,0.7086545,0.1157293,3787.8676,state,fb-survey
37,or,smoothed_cli,2020-09-01,2020-11-19,79,0.3180245,0.0781224,3843.0364,state,fb-survey
38,pa,smoothed_cli,2020-09-01,2020-11-19,79,0.3273224,0.0450735,11904.0071,state,fb-survey
39,ri,smoothed_cli,2020-09-01,2020-11-19,79,0.324329,0.1615198,1109.983,state,fb-survey
40,sc,smoothed_cli,2020-09-01,2020-11-19,79,0.7268116,0.1101227,4771.0013,state,fb-survey
41,sd,smoothed_cli,2020-09-01,2020-11-19,79,0.4815017,0.1676104,1015.6217,state,fb-survey
42,tn,smoothed_cli,2020-09-01,2020-11-19,79,0.8454927,0.1038974,5427.2401,state,fb-survey
43,tx,smoothed_cli,2020-09-01,2020-11-19,79,0.7377686,0.0556893,17792.2678,state,fb-survey
44,ut,smoothed_cli,2020-09-01,2020-11-19,79,0.6683663,0.1381288,2749.1766,state,fb-survey
45,va,smoothed_cli,2020-09-01,2020-11-19,79,0.46554,0.0662986,7219.3025,state,fb-survey
46,vt,smoothed_cli,2020-09-01,2020-11-19,79,0.2008031,0.1634619,747.0003,state,fb-survey
47,wa,smoothed_cli,2020-09-01,2020-11-19,79,0.3126764,0.0576833,6649.9587,state,fb-survey
48,wi,smoothed_cli,2020-09-01,2020-11-19,79,0.4644868,0.0833011,5036.987,state,fb-survey
49,wv,smoothed_cli,2020-09-01,2020-11-19,79,0.5077257,0.139072,2002.2039,state,fb-survey
50,wy,smoothed_cli,2020-09-01,2020-11-19,79,0.590176,0.2504718,626.7836,state,fb-survey
0,ak,smoothed_cli,2020-09-02,2020-11-19,78,0.649301,0.2524212,872.0,state,fb-survey
1,al,smoothed_cli,2020-09-02,2020-11-19,78,1.1860162,0.1454815,4361.1465,state,fb-survey
2,ar,smoothed_cli,2020-09-02,2020-11-19,78,0.7054116,0.127392,3102.9633,state,fb-survey
3,az,smoothed_cli,2020-09-02,2020-11-19,78,0.4840401,0.0784863,6004.2962,state,fb-survey
4,ca,smoothed_cli,2020-09-02,2020-11-19,78,0.4456652,0.0369056,24488.1916,state,fb-survey
5,co,smoothed_cli,2020-09-02,2020-11-19,78,0.3657523,0.0660647,5769.9033,state,fb-survey
6,ct,smoothed_cli,2020-09-02,2020-11-19,78,0.2794574,0.0630822,4300.0,state,fb-survey
7,dc,smoothed_cli,2020-09-02,2020-11-19,78,0.8097428,0.3437059,644.0,state,fb-survey
8,de,smoothed_cli,2020-09-02,2020-11-19,78,0.1708274,0.1031242,1299.0,state,fb-survey
9,fl,smoothed_cli,2020-09-02,2020-11-19,78,0.6401892,0.0509181,19331.0024,state,fb-survey
10,ga,smoothed_cli,2020-09-02,2020-11-19,78,0.835875,0.0888504,8298.9044,state,fb-survey
11,hi,smoothed_cli,2020-09-02,2020-11-19,78,0.5523114,0.1766588,1370.0,state,fb-survey
12,ia,smoothed_cli,2020-09-02,2020-11-19,78,0.8709602,0.1185641,4368.9905,state,fb-survey
13,id,smoothed_cli,2020-09-02,2020-11-19,78,0.9220571,0.176222,2156.6518,state,fb-survey
14,il,smoothed_cli,2020-09-02,2020-11-19,78,0.5841181,0.0614376,12148.0236,state,fb-survey
15,in,smoothed_cli,2020-09-02,2020-11-19,78,0.6319649,0.0823145,6850.008,state,fb-survey
16,ks,smoothed_cli,2020-09-02,2020-11-19,78,0.9337861,0.150765,3273.9234,state,fb-survey
17,ky,smoothed_cli,2020-09-02,2020-11-19,78,0.7405802,0.1119093,4583.6299,state,fb-survey
18,la,smoothed_cli,2020-09-02,2020-11-19,78,0.7857819,0.1220397,3797.9972,state,fb-survey
19,ma,smoothed_cli,2020-09-02,2020-11-19,78,0.2539251,0.0561174,6076.019,state,fb-survey
20,md,smoothed_cli,2020-09-02,2020-11-19,78,0.334718,0.0730957,4814.9979,state,fb-survey
21,me,smoothed_cli,2020-09-02,2020-11-19,78,0.4542486,0.1351269,1993.0,state,fb-survey
22,mi,smoothed_cli,2020-09-02,2020-11-19,78,0.4509753,0.054368,11417.0451,state,fb-survey
23,mn,smoothed_cli,2020-09-02,2020-11-19,78,0.5627257,0.0882085,5568.8551,state,fb-survey
24,mo,smoothed_cli,2020-09-02,2020-11-19,78,0.6535447,0.0923918,6122.3187,state,fb-survey
25,ms,smoothed_cli,2020-09-02,2020-11-19,78,1.2244562,0.1820096,2792.3686,state,fb-survey
26,mt,smoothed_cli,2020-09-02,2020-11-19,78,0.7782893,0.1935585,1573.8278,state,fb-survey
27,nc,smoothed_cli,2020-09-02,2020-11-19,78,0.6472104,0.0684397,10273.0104,state,fb-survey
28,nd,smoothed_cli,2020-09-02,2020-11-19,78,0.754783,0.2416294,975.1192,state,fb-survey
