,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,20.9349593,1.4986305,737.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,29.4131057,0.7621634,3574.1172,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,26.6662627,0.880757,2520.8892,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,17.9658388,0.5479932,4907.8568,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,15.3845013,0.2554362,19951.1664,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,14.7333735,0.5148189,4739.9346,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,10.4955853,0.5173352,3510.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,11.436673,1.3850321,528.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,11.7455896,0.9815207,1076.0,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,19.951024,0.3187383,15720.0021,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,26.8426125,0.5375481,6795.9215,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,17.5522648,1.1232443,1147.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,31.3711216,0.7832813,3509.1461,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,27.6760009,1.0641674,1767.5261,state,fb-survey
14,il,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,20.0050129,0.402276,9889.0236,state,fb-survey
15,in,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,25.0671768,0.5802955,5578.0072,state,fb-survey
16,ks,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,25.5207752,0.8469353,2649.8944,state,fb-survey
17,ky,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,24.070554,0.6988757,3741.9367,state,fb-survey
18,la,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,24.9186148,0.7805278,3070.9974,state,fb-survey
19,ma,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,10.7128561,0.4383039,4979.0165,state,fb-survey
20,md,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,12.9455189,0.535704,3926.9986,state,fb-survey
21,me,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,10.078219,0.7386514,1661.0,state,fb-survey
22,mi,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,14.8687262,0.3675261,9371.0113,state,fb-survey
23,mn,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,18.6824332,0.5797606,4519.8121,state,fb-survey
24,mo,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,27.9079577,0.6359076,4975.3921,state,fb-survey
25,ms,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,29.9015734,0.9645266,2253.066,state,fb-survey
26,mt,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,20.494946,1.1157618,1308.8761,state,fb-survey
27,nc,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,19.5193191,0.4328907,8383.0076,state,fb-survey
28,nd,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,28.6788007,1.6028504,796.1477,state,fb-survey
29,ne,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,27.9480192,1.0504819,1824.8192,state,fb-survey
30,nh,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,11.3919895,0.8143835,1522.0,state,fb-survey
31,nj,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,10.4987535,0.3952772,6013.9969,state,fb-survey
32,nm,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,14.9569412,0.8621931,1711.0887,state,fb-survey
33,nv,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,18.3177987,0.8650337,1999.5608,state,fb-survey
34,ny,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,10.5835299,0.2765694,12372.0014,state,fb-survey
35,oh,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,17.8972584,0.3855332,9885.9998,state,fb-survey
36,ok,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,27.9765439,0.738373,3695.868,state,fb-survey
37,or,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,12.7775541,0.5427724,3783.0364,state,fb-survey
38,pa,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,13.3445116,0.3152851,11633.0069,state,fb-survey
39,ri,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,11.8761515,0.9839546,1080.9835,state,fb-survey
40,sc,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,22.8260839,0.615826,4645.0015,state,fb-survey
41,sd,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,32.1584235,1.4825591,992.5826,state,fb-survey
42,tn,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,27.9063086,0.6157528,5306.2401,state,fb-survey
43,tx,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,22.4469556,0.3175349,17265.2675,state,fb-survey
44,ut,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,21.8145355,0.7938856,2706.1766,state,fb-survey
45,va,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,18.0978123,0.4589251,7037.8165,state,fb-survey
46,vt,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,11.2685514,1.1624034,740.0003,state,fb-survey
47,wa,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,15.8609216,0.4525924,6514.9587,state,fb-survey
48,wi,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,19.2394187,0.5614575,4928.9868,state,fb-survey
49,wv,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,19.071179,0.8855342,1968.2039,state,fb-survey
50,wy,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,17.975102,1.5498752,613.7954,state,fb-survey
0,ak,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,20.4117647,1.3832825,849.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,29.0725353,0.6952336,4266.1466,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,26.4552273,0.8000138,3039.9631,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,17.8413168,0.4998713,5866.2962,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,15.4573098,0.2344658,23771.1916,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,15.1063635,0.4764686,5648.9342,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,10.4126908,0.4717869,4191.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,11.6113744,1.2743287,632.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,11.6929134,0.9020453,1269.0,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,19.9482297,0.2919515,18735.0024,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,27.1339588,0.4942426,8093.9043,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,17.2477745,1.0293725,1347.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,31.5641914,0.711003,4273.023,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,27.29021,0.9677654,2118.6517,state,fb-survey
14,il,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,20.0159806,0.3673759,11862.0236,state,fb-survey
15,in,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,25.123011,0.5297156,6704.008,state,fb-survey
16,ks,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,26.1815787,0.7774031,3197.9236,state,fb-survey
17,ky,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,23.8643816,0.6363689,4486.6298,state,fb-survey
18,la,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,24.3159003,0.706211,3689.9972,state,fb-survey
19,ma,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,11.0445487,0.4072072,5925.0185,state,fb-survey
20,md,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,13.1020597,0.4915548,4711.9979,state,fb-survey
21,me,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,10.2360185,0.6867871,1948.0,state,fb-survey
22,mi,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,14.6764907,0.3343167,11204.0451,state,fb-survey
23,mn,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,18.8819811,0.5302848,5446.8632,state,fb-survey
24,mo,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,27.7222494,0.5776765,6004.3186,state,fb-survey
25,ms,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,30.182587,0.8787327,2729.0198,state,fb-survey
26,mt,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,20.8830252,1.0331663,1547.8278,state,fb-survey
27,nc,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,19.5452209,0.3964689,10004.0105,state,fb-survey
28,nd,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,29.4797236,1.4761055,954.1192,state,fb-survey
29,ne,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,28.3290895,0.9718425,2149.7292,state,fb-survey
30,nh,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,11.102107,0.730403,1850.0,state,fb-survey
31,nj,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,10.3276862,0.3601486,7139.9964,state,fb-survey
32,nm,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,15.3112532,0.7938576,2057.5539,state,fb-survey
33,nv,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,18.3549509,0.796776,2360.5356,state,fb-survey
34,ny,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,10.7312306,0.2548032,14755.002,state,fb-survey
35,oh,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,17.835509,0.3512622,11877.0008,state,fb-survey
36,ok,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,28.4786491,0.6761007,4455.868,state,fb-survey
37,or,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,12.9325711,0.4996166,4510.9373,state,fb-survey
38,pa,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,13.3815533,0.2888212,13895.0079,state,fb-survey
39,ri,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,11.5993781,0.901402,1261.9815,state,fb-survey
40,sc,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,22.5559157,0.5613734,5543.0028,state,fb-survey
41,sd,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,32.2105679,1.3581269,1183.8037,state,fb-survey
42,tn,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,27.9933546,0.5659343,6293.5475,state,fb-survey
43,tx,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,22.356112,0.2897098,20681.2711,state,fb-survey
44,ut,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,21.8624453,0.7276606,3226.2712,state,fb-survey
45,va,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,17.9236434,0.4187983,8387.5406,state,fb-survey
46,vt,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,10.6857082,1.0449759,874.0005,state,fb-survey
47,wa,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,15.7452104,0.4125388,7794.9511,state,fb-survey
48,wi,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,19.6456081,0.5174407,5895.9526,state,fb-survey
49,wv,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,19.2459976,0.8140702,2345.2047,state,fb-survey
50,wy,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,18.2546294,1.4136014,746.7621,state,fb-survey
0,ak,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,20.7784431,1.4048992,834.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,29.1509835,0.6906255,4330.1386,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,26.0094997,0.7943639,3049.7834,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,17.5677424,0.4953969,5900.7424,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,15.2487037,0.2330188,23801.1255,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,15.2206148,0.4761363,5691.9343,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,10.3200753,0.4667634,4248.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,12.4405705,1.3149261,630.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,12.5987362,0.9329902,1265.0,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,19.8418637,0.2910162,18780.0024,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,26.8832006,0.4951599,8016.9125,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,16.5022762,1.0228604,1317.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,31.831204,0.715615,4237.2082,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,26.8786341,0.9633881,2117.6244,state,fb-survey
14,il,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,20.0294495,0.3673602,11869.0232,state,fb-survey
15,in,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,25.3418221,0.5332318,6654.0049,state,fb-survey
16,ks,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,26.1989813,0.7682536,3275.9526,state,fb-survey
17,ky,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,24.1442936,0.6319345,4586.2599,state,fb-survey
18,la,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,24.9538097,0.7031175,3787.9974,state,fb-survey
19,ma,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,10.9846694,0.4060673,5930.016,state,fb-survey
20,md,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,12.9750876,0.4883341,4734.9981,state,fb-survey
21,me,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,10.7719475,0.6965553,1981.0,state,fb-survey
22,mi,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,14.4611445,0.3311371,11281.0711,state,fb-survey
23,mn,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,18.6508057,0.5263347,5476.7998,state,fb-survey
24,mo,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,27.4536481,0.5760902,6001.1524,state,fb-survey
25,ms,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,29.9178181,0.8753364,2736.4503,state,fb-survey
26,mt,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,20.9415785,1.039306,1532.7478,state,fb-survey
27,nc,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,19.5324871,0.3958373,10031.0107,state,fb-survey
28,nd,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,30.022752,1.4838875,954.1253,state,fb-survey
29,ne,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,28.2156964,0.9784522,2115.6364,state,fb-survey
30,nh,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,10.7048922,0.7092971,1900.0,state,fb-survey
31,nj,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,10.271374,0.36001,7110.9969,state,fb-survey
32,nm,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,15.4712393,0.7988625,2049.2055,state,fb-survey
33,nv,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,18.7165077,0.7988868,2383.728,state,fb-survey
34,ny,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,10.5559752,0.2539535,14640.0016,state,fb-survey
35,oh,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,17.8460183,0.3514468,11870.0043,state,fb-survey
36,ok,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,28.1224658,0.6714241,4483.8674,state,fb-survey
37,or,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,13.0442935,0.499286,4550.0882,state,fb-survey
38,pa,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,13.2389018,0.2877627,13871.0086,state,fb-survey
39,ri,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,11.7859522,0.9149413,1241.984,state,fb-survey
40,sc,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,22.1102429,0.5543053,5605.0031,state,fb-survey
41,sd,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,33.0905372,1.3611856,1194.9691,state,fb-survey
42,tn,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,27.4360531,0.5636678,6266.0811,state,fb-survey
43,tx,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,22.0104806,0.2878642,20715.2664,state,fb-survey
44,ut,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,21.7472023,0.7279804,3211.1741,state,fb-survey
45,va,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,17.6854988,0.4155586,8430.0305,state,fb-survey
46,vt,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,10.1155976,1.0258429,864.0008,state,fb-survey
47,wa,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,15.2540744,0.4083898,7750.9479,state,fb-survey
48,wi,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,19.4834446,0.5154719,5903.9271,state,fb-survey
49,wv,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,19.5676301,0.8205914,2337.3036,state,fb-survey
50,wy,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,18.1264744,1.4099417,746.5425,state,fb-survey
0,ak,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,20.4320988,1.4175918,809.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,29.1049447,0.6947313,4275.127,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,25.8164346,0.7961388,3021.5262,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,17.2352552,0.4924658,5881.8099,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,15.2652202,0.2336678,23690.11,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,15.2203863,0.4747617,5724.8711,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,9.9811009,0.460769,4232.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,12.519685,1.3143385,634.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,12.3095429,0.9307609,1246.0,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,19.6309008,0.2907294,18666.0023,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,26.7978179,0.4966478,7952.9174,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,14.7963105,0.9847687,1300.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,31.5904382,0.7135741,4244.1855,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,26.6075558,0.9639412,2101.6253,state,fb-survey
14,il,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,20.2169834,0.3705207,11749.023,state,fb-survey
15,in,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,25.1285242,0.5334675,6611.0047,state,fb-survey
16,ks,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,25.915291,0.7685903,3250.0864,state,fb-survey
17,ky,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,24.0817431,0.6328471,4564.9552,state,fb-survey
18,la,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,24.6188673,0.7018706,3767.1819,state,fb-survey
19,ma,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,10.8404326,0.4051222,5889.014,state,fb-survey
20,md,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,12.8033247,0.4875298,4696.9977,state,fb-survey
21,me,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,10.7562596,0.7005435,1956.0,state,fb-survey
22,mi,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,14.5286994,0.334714,11084.0707,state,fb-survey
23,mn,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,18.1047651,0.5235323,5409.5927,state,fb-survey
24,mo,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,28.0877087,0.582239,5958.2248,state,fb-survey
25,ms,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,30.3626083,0.8881504,2680.4554,state,fb-survey
26,mt,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,21.0592263,1.0427463,1528.9261,state,fb-survey
27,nc,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,19.0993546,0.3952238,9892.0097,state,fb-survey
28,nd,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,29.8404544,1.4925059,939.8533,state,fb-survey
29,ne,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,27.6765997,0.9799055,2084.6023,state,fb-survey
30,nh,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,10.5824233,0.701661,1922.0,state,fb-survey
31,nj,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,10.1620785,0.3618876,6970.9969,state,fb-survey
32,nm,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,14.7042413,0.7880953,2019.3545,state,fb-survey
33,nv,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,18.9257046,0.8067637,2357.4501,state,fb-survey
34,ny,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,10.447405,0.2533866,14572.0016,state,fb-survey
35,oh,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,17.5527897,0.3517266,11698.0036,state,fb-survey
36,ok,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,27.9666377,0.6771398,4393.5676,state,fb-survey
37,or,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,13.0599052,0.5032423,4483.384,state,fb-survey
38,pa,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,13.5104957,0.2902964,13866.0086,state,fb-survey
39,ri,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,11.4461655,0.9156364,1208.986,state,fb-survey
40,sc,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,21.8593494,0.5529268,5587.003,state,fb-survey
41,sd,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,32.4886058,1.3667014,1174.2508,state,fb-survey
42,tn,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,27.3644696,0.565775,6209.3864,state,fb-survey
43,tx,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,21.8792598,0.2877728,20639.515,state,fb-survey
44,ut,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,21.996691,0.7378046,3152.0106,state,fb-survey
45,va,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,17.5300599,0.4151103,8389.8082,state,fb-survey
46,vt,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,8.9114856,0.9859693,835.0009,state,fb-survey
47,wa,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,15.1679316,0.4054332,7827.9442,state,fb-survey
48,wi,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,19.7327697,0.5192325,5874.9278,state,fb-survey
49,wv,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,19.5998639,0.8235814,2323.2544,state,fb-survey
50,wy,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,18.6035595,1.4270738,743.5473,state,fb-survey
0,ak,smoothed_hh_cmnty_cli,2020-09-05,2020-11-19,75,19.4717445,1.3887731,813.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-05,2020-11-19,75,28.7207974,0.7004897,4172.1108,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-05,2020-11-19,75,26.4769781,0.8056706,2999.0021,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-05,2020-11-19,75,17.0739869,0.4942177,5796.8099,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-05,2020-11-19,75,15.3232463,0.2361136,23274.0948,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-05,2020-11-19,75,15.3650708,0.4816378,5605.871,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-05,2020-11-19,75,9.9518652,0.4644686,4154.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-05,2020-11-19,75,12.5201939,1.3312671,618.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-05,2020-11-19,75,12.3646961,0.9502561,1200.0,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-05,2020-11-19,75,19.6201174,0.2936095,18294.0027,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-05,2020-11-19,75,26.3352541,0.5015207,7712.9305,state,fb-survey
